Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Purpose,Loan_Status
Male,Yes,1,Graduate,No,9084,947,155,240,1,Rural,Home Purchase,Y
Male,No,0,Graduate,No,2439,1246,181,360,0,Semiurban,Business,Y
Female,Yes,2,Graduate,No,1635,1424,222,360,1,Semiurban,Car,Y
Male,Yes,1,Graduate,No,12429,887,175,360,1,Urban,Business,Y
Male,Yes,0,Graduate,No,2557,1515,201,360,1,Urban,Education,Y
Female,No,2,Graduate,No,17960,733,122,300,1,Semiurban,Home Purchase,Y
Female,Yes,1,Not Graduate,Yes,2185,506,182,300,1,Rural,Wedding,Y
Female,Yes,0,Graduate,No,4876,107,108,120,1,Urban,Home Purchase,Y
Female,Yes,2,Graduate,No,1740,1317,89,360,1,Semiurban,Business,Y
Female,Yes,0,Not Graduate,No,6227,1620,20,120,1,Urban,Home Purchase,Y
Female,Yes,2,Not Graduate,No,2249,5691,154,180,1,Semiurban,Home Purchase,Y
Female,Yes,0,Graduate,No,910,2974,124,300,0,Semiurban,Home Purchase,Y
Female,Yes,3+,Graduate,No,1731,3685,129,480,1,Rural,Other,Y
Male,Yes,0,Graduate,No,4655,173,107,300,0,Rural,Education,Y
Male,No,2,Graduate,No,251,1194,172,240,1,Rural,Wedding,Y
Female,No,0,Graduate,No,729,6519,88,360,1,Urban,Education,Y
Female,Yes,3+,Not Graduate,No,6033,2058,164,240,1,Urban,Home Purchase,Y
Male,No,2,Graduate,Yes,8067,323,176,360,1,Rural,Business,Y
Male,Yes,1,Graduate,No,1560,1524,191,360,1,Rural,Debt Consolidation,N
Female,No,1,Not Graduate,No,3864,440,235,360,0,Rural,Home Purchase,Y
Male,Yes,2,Graduate,No,5428,967,122,360,0,Semiurban,Home Purchase,Y
Male,Yes,1,Graduate,No,7175,1328,87,360,1,Rural,Business,Y
Male,Yes,0,Graduate,No,2296,4488,97,360,1,Semiurban,Education,Y
Male,Yes,1,Graduate,No,14130,358,89,180,1,Semiurban,Home Renovation,Y
Female,Yes,1,Graduate,No,71,639,133,480,1,Urban,Business,Y
Male,Yes,2,Graduate,No,669,911,177,180,0,Semiurban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,792,1568,91,300,1,Semiurban,Home Renovation,Y
Female,Yes,0,Graduate,No,1973,572,167,300,1,Urban,Education,Y
Female,No,0,Graduate,No,7062,2569,291,360,1,Urban,Business,Y
Female,Yes,0,Graduate,No,3117,1353,171,240,1,Semiurban,Business,Y
Male,Yes,0,Graduate,No,1489,7824,60,240,0,Urban,Home Renovation,Y
Female,No,3+,Graduate,No,1815,2429,172,360,1,Semiurban,Car,Y
Female,No,1,Graduate,No,4309,2565,133,300,1,Semiurban,Education,Y
Female,Yes,0,Graduate,Yes,5281,877,103,360,1,Rural,Car,Y
Female,Yes,1,Graduate,No,909,2038,101,300,1,Rural,Car,Y
Male,Yes,2,Not Graduate,No,2980,5515,226,120,1,Urban,Home Purchase,Y
Female,No,3+,Graduate,No,9639,4117,88,360,1,Semiurban,Home Renovation,Y
Male,Yes,2,Graduate,No,11974,103,63,180,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,1651,742,99,300,1,Urban,Other,N
